City,Finder,Time,Memory,Nearest City,Latitude,Longitude,Expected Latitude,Expected Longitude
London,k-d Tree,1,648,Nelson's Column,51.507770,-0.127920,51.507400,-0.127800
London,R-tree,89,624,St Martin-in-the-Fields,51.508860,-0.126900,51.507400,-0.127800
London,S2,0,6,Edith Cavell Memorial,51.509390,-0.127160,51.507400,-0.127800
London,Geohash,3319,238,Nelson's Column,51.507770,-0.127920,51.507400,-0.127800
Tokyo,k-d Tree,7,649,Tokyo Prefecture,35.689500,139.691710,35.689500,139.691700
Tokyo,R-tree,26,606,Tokyo,35.689500,139.691710,35.689500,139.691700
Tokyo,S2,4,362,Tōkyō Tochōsha,35.689440,139.691780,35.689500,139.691700
Tokyo,Geohash,2987,238,Tokyo Prefecture,35.689500,139.691710,35.689500,139.691700
Sydney,k-d Tree,2,454,Royal Theatre,-33.868000,151.209000,-33.868800,151.209300
Sydney,R-tree,20,409,Medina Grand Harbourside,-33.867600,151.209600,-33.868800,151.209300
Sydney,S2,0,8,Westin Sydney Heritage Superior,-33.867790,151.207750,-33.868800,151.209300
Sydney,Geohash,3114,65,Royal Theatre,-33.868000,151.209000,-33.868800,151.209300
Moscow,k-d Tree,4,682,Budappest,55.755790,37.617630,55.755800,37.617600
Moscow,R-tree,36,537,Bolschoi-Theater,55.760300,37.618600,55.755800,37.617600
Moscow,S2,1,5,Budappest,55.755790,37.617630,55.755800,37.617600
Moscow,Geohash,3325,238,Budappest,55.755790,37.617630,55.755800,37.617600
postal code 90210,k-d Tree,1,647,Coldwater Canyon Park,34.091400,-118.411190,0.000000,0.000000
postal code 90210,S2,17,238,N/A,N/A,N/A,0.000000,0.000000
postal code 90210,R-tree,20,31,Greystone Mansion,34.091950,-118.401470,0.000000,0.000000
postal code 90210,Geohash,3265,238,Coldwater Canyon Park,34.091400,-118.411190,0.000000,0.000000
postal code 10001,k-d Tree,2,647,David Dubinsky Student Center,40.748060,-73.996110,0.000000,0.000000
postal code 10001,S2,0,57,Holiday Inn Express NYC Madison Square Garden,40.748820,-73.995410,0.000000,0.000000
postal code 10001,R-tree,161,239,Holiday Inn Express NYC Madison Square Garden,40.748820,-73.995410,0.000000,0.000000
postal code 10001,Geohash,3226,66,David Dubinsky Student Center,40.748060,-73.996110,0.000000,0.000000
Los Angeles,k-d Tree,2,454,Los Angeles,34.052230,-118.243680,34.052200,-118.243700
Los Angeles,R-tree,75,626,Los Angeles,34.052230,-118.243680,34.052200,-118.243700
Los Angeles,S2,0,13,Los Angeles Police Department - Headquarters,34.052030,-118.244440,34.052200,-118.243700
Los Angeles,Geohash,3335,239,Los Angeles,34.052230,-118.243680,34.052200,-118.243700
New York,k-d Tree,2,451,New York City Hall,40.712600,-74.005970,40.712800,-74.006000
New York,S2,0,11,Vanderlyn's Rotunda (historical),40.713160,-74.004310,40.712800,-74.006000
New York,R-tree,218,651,Old New York County Courthouse,40.713440,-74.005420,40.712800,-74.006000
New York,Geohash,3326,239,New York City Hall,40.712600,-74.005970,40.712800,-74.006000
Mexico City,k-d Tree,0,648,Estación Zócalo,19.432520,-99.132310,19.432600,-99.133200
Mexico City,R-tree,38,325,Mexico-Tenochtitlan,19.434730,-99.131470,19.432600,-99.133200
Mexico City,S2,0,10,Estación Zócalo,19.432520,-99.132310,19.432600,-99.133200
Mexico City,Geohash,2864,238,Estación Zócalo,19.432520,-99.132310,19.432600,-99.133200
Kazan,k-d Tree,4,649,Ploshchad’ Pervogo Maya,55.796390,49.108850,55.796300,49.108800
Kazan,R-tree,10,324,Ploshchad’ Pervogo Maya,55.796390,49.108850,55.796300,49.108800
Kazan,S2,1,10,Courtyard By Marriott Kazan Kremlin,55.797280,49.111370,55.796300,49.108800
Kazan,Geohash,3353,238,Ploshchad’ Pervogo Maya,55.796390,49.108850,55.796300,49.108800
postal code 60601,k-d Tree,1,646,Buckingham Plaza,41.884760,-87.618940,0.000000,0.000000
postal code 60601,S2,16,236,Fairmont Chicago Millennium Park,41.886080,-87.621010,0.000000,0.000000
postal code 60601,R-tree,17,80,Oakwood Lake Michigan,41.886680,-87.615790,0.000000,0.000000
postal code 60601,Geohash,3281,16,Buckingham Plaza,41.884760,-87.618940,0.000000,0.000000
Beijing,k-d Tree,4,633,Phoenix Suyuan,39.904210,116.407410,39.904200,116.407400
Beijing,R-tree,70,647,Phoenix Suyuan,39.904210,116.407410,39.904200,116.407400
Beijing,S2,0,8,Radisson Blu Hotel Beijing,39.904030,116.407530,39.904200,116.407400
Beijing,Geohash,3253,238,Phoenix Suyuan,39.904210,116.407410,39.904200,116.407400
Paris,k-d Tree,0,644,Hôtel de Ville de Paris,48.856440,2.352440,48.856600,2.352200
Paris,S2,5,8,Rue de la Coutellerie,48.857350,2.350270,48.856600,2.352200
Paris,R-tree,201,611,Rue de la Verrerie,48.857830,2.353350,48.856600,2.352200
Paris,Geohash,3176,61,Hôtel de Ville de Paris,48.856440,2.352440,48.856600,2.352200
Chicago,k-d Tree,2,453,Kluczynski Federal Building,41.878370,-87.630050,41.878100,-87.629800
Chicago,S2,0,10,HHS Region 5,41.877860,-87.629520,41.878100,-87.629800
Chicago,R-tree,222,629,Federal Center,41.878920,-87.629770,41.878100,-87.629800
Chicago,Geohash,3167,238,Kluczynski Federal Building,41.878370,-87.630050,41.878100,-87.629800
Bugulma,k-d Tree,4,648,Bugulma,54.537800,52.798500,54.537800,52.798500
Bugulma,R-tree,28,238,Bugulma,54.537800,52.798500,54.537800,52.798500
Bugulma,S2,0,9,Bugulma,54.537800,52.798500,54.537800,52.798500
Bugulma,Geohash,3240,238,Bugulma,54.537800,52.798500,54.537800,52.798500
